time_s,SWITCH_v_pu,CAP_v_pu,output_fixed_1_pu
0.00394,-0.55278082301,-0.552780823005,-0.552780823005
0.00395,-0.562301950511,-0.562301950506,-0.562301950506
0.00396,-0.569549630168,-0.569549630165,-0.569549630165
0.00397,-0.574502116577,-0.574502116575,-0.574502116575
0.00398,-0.577146890056,-0.577146890056,-0.577146890056
0.00399,-0.577480677501,-0.577480677501,-0.577480677501
0.004,-0.575509436274,-0.575509436276,-0.575509436276
0.00401,-0.571248301328,-0.571248301331,-0.571248301331
0.00402,-0.56472149587,-0.564721495874,-0.564721495874
0.00403,-0.555962206057,-0.555962206062,-0.555962206062
0.00404,-0.54501242032,-0.545012420326,-0.545012420326
0.00405,-0.531922734082,-0.531922734089,-0.531922734089
0.00406,-0.516752120745,-0.516752120753,-0.516752120753
0.00407,-0.499567669988,-0.499567669997,-0.499567669997
0.00408,-0.480444294488,-0.480444294498,-0.480444294498
0.00409,-0.459464406377,-0.459464406388,-0.459464406388
0.0041,-0.43671756478,-0.436717564792,-0.436717564792
0.00411,-0.412300095965,-0.412300095977,-0.412300095977
0.00412,-0.386314687679,-0.386314687692,-0.386314687692
0.00413,-0.358869959394,-0.358869959408,-0.358869959408
0.00414,-0.330080010241,-0.330080010256,-0.330080010256
0.00415,-0.300063946497,-0.300063946512,-0.300063946512
0.00416,-0.268945390601,-0.268945390616,-0.268945390616
0.00417,-0.236851973688,-0.236851973704,-0.236851973704
0.00418,-0.20391481374,-0.203914813756,-0.203914813756
0.00419,-0.17026798146,-0.170267981477,-0.170267981477
0.0042,-0.136047956062,-0.136047956079,-0.136047956079
0.00421,-0.10139307316,-0.101393073178,-0.101393073178
0.00422,-0.0664429669973,-0.0664429670149,-0.0664429670149
0.00423,-0.0313380092485,-0.031338009266,-0.031338009266
0.00424,0.0037812533457,0.00378125332815,0.00378125332815
0.00425,0.0387746602705,0.038774660253,0.038774660253
0.00426,0.0735029952178,0.0735029952006,0.0735029952006
0.00427,0.10782853854,0.107828538523,0.107828538523
0.00428,0.141615611988,0.141615611972,0.141615611972
0.00429,0.174731113592,0.174731113576,0.174731113576
0.0043,0.207045040568,0.207045040552,0.207045040552
0.00431,0.238430998219,0.238430998204,0.238430998204
0.00432,0.26876669283,0.268766692815,0.268766692815
0.00433,0.297934406649,0.297934406635,0.297934406635
0.00434,0.325821453112,0.325821453099,0.325821453099
0.00435,0.352320610562,0.352320610549,0.352320610549
0.00436,0.377330532793,0.377330532781,0.377330532781
0.00437,0.400756134859,0.400756134848,0.400756134848
0.00438,0.422508952688,0.422508952677,0.422508952677
0.00439,0.442507475141,0.442507475131,0.442507475131
0.0044,0.460677447291,0.460677447282,0.460677447282
0.00441,0.476952143789,0.476952143782,0.476952143782
0.00442,0.49127261133,0.491272611323,0.491272611323
0.00443,0.503587879342,0.503587879337,0.503587879337
0.00444,0.513855138173,0.513855138168,0.513855138168
0.00445,0.522039884138,0.522039884134,0.522039884134
0.00446,0.528116030989,0.528116030986,0.528116030986
0.00447,0.532065987439,0.532065987437,0.532065987437
0.00448,0.533880700551,0.53388070055,0.53388070055
0.00449,0.533559664926,0.533559664927,0.533559664927
0.0045,0.531110897763,0.531110897765,0.531110897765
0.00451,0.526550879986,0.526550879989,0.526550879989
0.00452,0.5199044638,0.519904463804,0.519904463804
0.00453,0.511204747129,0.511204747134,0.511204747134
0.00454,0.500492915563,0.500492915568,0.500492915568
0.00455,0.487818052525,0.487818052532,0.487818052532
0.00456,0.473236918538,0.473236918546,0.473236918546
0.00457,0.456813700548,0.456813700557,0.456813700557
0.00458,0.438619732415,0.438619732424,0.438619732424
0.00459,0.418733187771,0.418733187782,0.418733187782
0.0046,0.397238746559,0.39723874657,0.39723874657
0.00461,0.374227236657,0.374227236669,0.374227236669
0.00462,0.34979525212,0.349795252132,0.349795252132
0.00463,0.324044749603,0.324044749616,0.324044749616
0.00464,0.297082624675,0.297082624688,0.297082624688
0.00465,0.269020269758,0.269020269772,0.269020269772
0.00466,0.239973115523,0.239973115537,0.239973115537
0.00467,0.210060157614,0.210060157629,0.210060157629
0.00468,0.179403470653,0.179403470669,0.179403470669
0.00469,0.148127711482,0.148127711498,0.148127711498
0.0047,0.116359613678,0.116359613694,0.116359613694
0.00471,0.0842274753717,0.0842274753879,0.0842274753879
0.00472,0.051860642442,0.0518606424583,0.0518606424583
0.00473,0.0193889891603,0.0193889891766,0.0193889891766
0.00474,-0.0130576016364,-0.0130576016202,-0.0130576016202
0.00475,-0.0453497567662,-0.0453497567501,-0.0453497567501
0.00476,-0.0773591272551,-0.0773591272392,-0.0773591272392
0.00477,-0.108958897181,-0.108958897165,-0.108958897165
0.00478,-0.140024284795,-0.14002428478,-0.14002428478
0.00479,-0.17043303395,-0.170433033935,-0.170433033935
0.0048,-0.200065893897,-0.200065893882,-0.200065893882
0.00481,-0.228807085583,-0.228807085569,-0.228807085569
0.00482,-0.256544752624,-0.256544752611,-0.256544752611
0.00483,-0.283171395208,-0.283171395195,-0.283171395195
0.00484,-0.308584285241,-0.308584285228,-0.308584285228
0.00485,-0.332685861157,-0.332685861146,-0.332685861146
0.00486,-0.355384100863,-0.355384100852,-0.355384100852
0.00487,-0.376592871402,-0.376592871392,-0.376592871392
0.00488,-0.396232254031,-0.396232254021,-0.396232254021
0.00489,-0.414228843466,-0.414228843457,-0.414228843457
0.0049,-0.430516020207,-0.430516020199,-0.430516020199
0.00491,-0.445034194926,-0.445034194919,-0.445034194919
0.00492,-0.457731024037,-0.457731024031,-0.457731024031
0.00493,-0.468561595676,-0.468561595672,-0.468561595672
0.00494,-0.477488585449,-0.477488585445,-0.477488585445
0.00495,-0.484482381407,-0.484482381404,-0.484482381404
