time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,separate_field_current_A
0.00172,0.0918224296012,10,1,3.02462483849e-10,1.51231241924e-10,1.00030146218e-12,10,0.0918224296012,1,3.02462483849e-10,3.32522519623e-10,1.90983381205e-05,-0.000301462182387,-0.00032056085303,0,0,0,0,-0.0988756188249,-0.0687460063889
0.00174,0.088971961962,10,1,3.06357204758e-10,1.53178602379e-10,1.0003053569e-12,10,0.088971961962,1,3.06357204758e-10,3.36804314818e-10,1.90699267939e-05,-0.000305356899401,-0.000324427163,0,0,0,0,-0.098915693228,-0.0695469699775
0.00176,0.0862814653715,10,1,3.10246223044e-10,1.55123111522e-10,1.00030924591e-12,10,0.0862814653715,1,3.10246223044e-10,3.41079840637e-10,1.9042452404e-05,-0.000309245913798,-0.000328288707282,0,0,0,0,-0.0989535186163,-0.0703478624587
0.00178,0.0837419620932,10,1,3.14129727797e-10,1.57064863898e-10,1.00031312941e-12,10,0.0837419620932,1,3.14129727797e-10,3.45349304966e-10,1.90158941762e-05,-0.000313129414668,-0.000332145654193,0,0,0,0,-0.0989892212065,-0.0711486838388
0.0018,0.0813449782377,10,1,3.18007903806e-10,1.59003951903e-10,1.00031700759e-12,10,0.0813449782377,1,3.18007903806e-10,3.49612910957e-10,1.8990230715e-05,-0.000317007586799,-0.000335998167127,0,0,0,0,-0.0990229201323,-0.0719494341242
0.00182,0.0790825154714,10,1,3.21880931444e-10,1.60940465722e-10,1.00032088061e-12,10,0.0790825154714,1,3.21880931444e-10,3.53870856909e-10,1.89654401387e-05,-0.000320880610564,-0.000339846404573,0,0,0,0,-0.0990547278412,-0.072750113321
0.00184,0.0769470243417,10,1,3.25748986581e-10,1.62874493291e-10,1.00032474866e-12,10,0.0769470243417,1,3.25748986581e-10,3.58123336171e-10,1.89415002021e-05,-0.000324748661833,-0.000343690520158,0,0,0,0,-0.0990847504703,-0.0735507214357
0.00186,0.0749313790726,10,1,3.29612240521e-10,1.6480612026e-10,1.00032861191e-12,10,0.0749313790726,1,3.29612240521e-10,3.62370537072e-10,1.89183884057e-05,-0.000328611911909,-0.000347530662685,0,0,0,0,-0.0991130881998,-0.0743512584745
0.00188,0.073028853799,10,1,3.3347085996e-10,1.6673542998e-10,1.00033247053e-12,10,0.073028853799,1,3.3347085996e-10,3.66612642876e-10,1.88960820949e-05,-0.000332470527489,-0.000351366976197,0,0,0,0,-0.0991398355882,-0.0751517244438
0.0019,0.0712331001138,10,1,3.37325006964e-10,1.68662503482e-10,1.00033632467e-12,10,0.0712331001138,1,3.37325006964e-10,3.70849831755e-10,1.88745585481e-05,-0.000336324670639,-0.000355199600037,0,0,0,0,-0.0991650818868,-0.0759521193498
