time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,armature_axis_1_current_A,armature_axis_2_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0.0406,-2760.6955421,-2760.6955421,-1355.50593748,-2760.6955421,-1371.43360779,-1174.12100051,184.725201883,92.3626009416,184.722626198,-2760.6955421,-1186.88381277,-1395.11559096,184.725201883,-2760.6955421,-2760.6955421,184.725201883,-5.25663393087e-15,203.083995034,-1.28464853764,-2575.68568495,-2777.48503108,184.725648031,8.28525947346,0,52.3206670269,372.524369967,58.4718092318,-302.883050571
0.0408,-2841.29491498,-2841.29491498,-1454.97160474,-2841.29491498,-1265.55471302,-962.830829422,184.725199266,92.3625996332,184.722623581,-2841.29491498,-1288.61377034,-1301.88598934,184.725199266,-2841.29491498,-2841.29491498,184.725199266,-7.09154456221e-16,203.083992158,-1.27971115708,-2575.68568495,-2777.48996561,184.725648031,8.32220460307,0,80.2356636193,367.523265011,58.0124258783,-302.972042886
0.041,-2905.74948339,-2905.74948339,-1546.14930407,-2905.74948339,-1152.23735971,-746.069661494,184.725196662,92.3625983311,184.722620977,-2905.74948339,-1382.99857488,-1200.9818087,184.725196662,-2905.74948339,-2905.74948339,184.725196662,-7.09153037913e-16,203.083989294,-1.27244094014,-2575.68568495,-2777.49723295,184.725648031,8.35914973267,0,107.694710585,360.433621235,57.5529594935,-303.060596711
0.0412,-2953.69300359,-2953.69300359,-1628.57845837,-2953.69300359,-1032.61820533,-525.069176926,184.725194074,92.3625970371,184.722618389,-2953.69300359,-1469.56632745,-1093.52830429,184.725194074,-2953.69300359,-2953.69300359,184.725194074,-5.256620581e-15,203.083986449,-1.26378592849,-2575.68568495,-2777.50588514,184.725648031,8.39609486228,0,134.541615594,351.29574224,57.0935280814,-303.148582545
0.0414,-2984.85305094,-2984.85305094,-1701.70030304,-2984.85305094,-906.889143296,-301.085144553,184.725191506,92.3625957531,184.722615821,-2984.85305094,-1547.72390078,-979.589705083,184.725191506,-2984.85305094,-2984.85305094,184.725191506,-5.25661006777e-15,203.083983626,-1.25292161107,-2575.68568489,-2777.51674666,184.725648031,8.43303999188,0,160.623993359,340.161520511,56.6340417619,-303.236110869
0.0416,-2999.05256785,-2999.05256785,-1765.22222397,-2999.05256785,-776.245242356,-75.3902863297,184.725188962,92.3625944808,184.722613276,-2999.05256785,-1617.16481223,-860.35176221,184.725188962,-2999.05256785,-2999.05256785,184.725188962,-7.09130593168e-16,203.083980828,-1.24083310366,-2575.68568497,-2777.52883231,184.725648031,8.46998512149,0,185.79347786,327.094263708,56.1746152364,-303.323049111
0.0418,-2996.21086982,-2996.21086982,-1818.62848321,-2996.21086982,-640.957505759,150.73295454,184.725186444,92.3625932218,184.722610758,-2996.21086982,-1677.32111571,-735.964107013,184.725186444,-2996.21086982,-2996.21086982,184.725186444,8.38580874788e-15,203.08397806,-1.22669517994,-2575.68568489,-2777.54296753,184.725648031,8.5069302511,0,209.907209464,312.168170282,55.7151585298,-303.409507625
0.042,-2976.34410394,-2976.34410394,-1861.80165388,-2976.34410394,-502.254571407,375.999700693,184.725183956,92.3625919778,184.72260827,-2976.34410394,-1728.0593538,-607.648629677,184.725183956,-2976.34410394,-2976.34410394,184.725183956,-5.2566149079e-15,203.083975325,-1.21152755618,-2575.68568492,-2777.5581324,184.725648031,8.5438753807,0,232.828015095,295.468115322,55.25578282,-303.49535107
0.0422,-2939.56515715,-2939.56515715,-1894.27999538,-2939.56515715,-360.47816409,599.129941543,184.725181501,92.3625907503,184.722605815,-2939.56515715,-1768.84882908,-475.634461833,184.725181501,-2939.56515715,-2939.56515715,184.725181501,-7.0913543329e-16,203.083972626,-1.19450166821,-2575.68568492,-2777.57515553,184.725648031,8.58082051031,0,254.42580396,277.088918987,54.7963978766,-303.580689942
0.0424,-2886.08301476,-2886.08301476,-1916.12481596,-2886.08301476,-216.86478841,818.855806552,184.725179081,92.3625895405,184.722603395,-2886.08301476,-1799.73312704,-341.154345427,184.725179081,-2886.08301476,-2886.08301476,184.725179081,-7.0913401502e-16,203.083969966,-1.17666941881,-2575.68568489,-2777.59298518,184.725648031,8.61776563992,0,274.577708562,257.135097757,54.3371111787,-303.665386455
0.0426,-2816.20157296,-2816.20157296,-1926.93782507,-2816.20157296,-71.8170156013,1033.92876952,184.725176699,92.3625883497,184.722601014,-2816.20157296,-1820.22969335,-204.509338456,184.725176699,-2816.20157296,-2816.20157296,184.725176699,-5.25660155815e-15,203.083967348,-1.15719640255,-2575.68568489,-2777.61245557,184.725648031,8.65471076952,0,293.169360282,235.719941101,53.8778321262,-303.749551537
0.0428,-2730.31791206,-2730.31791206,-1926.95884129,-2730.31791205,73.4468016594,1243.12674298,184.725174358,92.3625871792,184.722598673,-2730.31791206,-1830.55947393,-66.917346882,184.725174358,-2730.31791206,-2730.31791206,184.725174358,-5.25659104496e-15,203.083964774,-1.13716316223,-2575.68568492,-2777.63248623,184.725648031,8.69165589913,0,310.094985204,212.965235152,53.4186643721,-303.833045294
0.043,-2628.92004013,-2628.92004013,-1915.86076251,-2628.92004013,218.474345415,1445.26102231,184.725172059,92.3625860297,184.722596374,-2628.92004013,-1830.2975523,71.2576761858,184.725172059,-2628.92004013,-2628.92004013,184.725172059,-5.25658053179e-15,203.083962247,-1.1157271564,-2575.68568492,-2777.65391968,184.725648031,8.72860102873,0,325.258533334,189.000167004,52.9595168807,-303.915979385
0.0432,-2512.58412013,-2512.58412013,-1894.05790442,-2512.58412013,362.091195913,1639.1830402,184.725169805,92.3625849023,184.722594119,-2512.58412013,-1819.83882142,208.838207066,184.725169805,-2512.58412013,-2512.58412013,184.725169805,-7.09101057239e-16,203.083959768,-1.09399437904,-2575.68568492,-2777.67565001,184.725648031,8.76554615834,0,338.573724435,163.961028831,52.5004894,-303.998212163
0.0434,-2381.97119594,-2381.97119594,-1861.30022531,-2381.97119594,503.807325654,1823.79089308,184.725167595,92.3625837977,184.72259191,-2381.97119594,-1798.82390842,345.407641683,184.725167595,-2381.97119594,-2381.97119594,184.725167595,3.83836932236e-15,203.083957339,-1.07111108303,-2575.68568489,-2777.69853084,184.725648031,8.80249128795,0,349.96500776,137.989972763,52.0414904407,-304.079856315
