time_s,bus_v_pu,source_node_v_pu,source_v_pu,load_conductance_pu,inverter_p_pu,inverter_q_pu,id_pu,iq_pu,id_ref_pu,iq_ref_pu,p_ref_pu,q_ref_pu
0.110920000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110940000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110960000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110980000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111000000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111020000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111040000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111060000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111080000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111100000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111120000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111140000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111160000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111180000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.111200000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
