time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0.00108,131.356313964,13133.9481421,2478.74963855,-61347.6756181,-1224.48370522,-13138.2585226,-123937.481928,-2478.69203632,1226.95351236
0.00109,134.111372311,13418.1392267,2481.04287479,-60836.9089153,-1217.84828248,-13413.8194585,-124052.14374,-2484.21593479,1216.73817831
0.0011,136.981034466,13697.7916745,2488.56155985,-60593.2295798,-1209.93104765,-13700.8430673,-124428.077992,-2488.82280457,1211.8645916
0.00111,139.749908483,13978.3336833,2491.94269315,-60152.0737064,-1202.71257996,-13977.7858465,-124597.134657,-2493.89965952,1203.04147413
0.00112,142.532193302,14257.304888,2496.67740577,-59765.4391414,-1194.98974906,-14256.0699741,-124833.870289,-2498.40870633,1195.30878283
0.00113,145.336534669,14533.953339,2502.20249711,-59434.5422742,-1187.04142288,-14536.5601976,-125110.124855,-2502.8694494,1188.69084548
0.00114,148.061289759,14811.33102,2505.02141063,-58959.9783418,-1179.46740028,-14809.0902017,-125251.070531,-2507.41534542,1179.19956684
0.00115,150.844353823,15085.8435839,2510.71757964,-58632.9894148,-1171.15600175,-15087.4522694,-125535.878982,-2511.40064058,1172.6597883
0.00116,153.570965792,15360.1671624,2513.99305829,-58190.5485426,-1163.31144727,-15360.1679985,-125699.652915,-2515.74743597,1163.81097085
0.00117,156.295962426,15633.4211196,2518.08157403,-57782.1195959,-1155.09825828,-15632.7221619,-125904.078701,-2519.6499698,1155.64239192
0.00118,159.031806148,15904.8189685,2522.59473246,-57404.1993336,-1146.75323592,-15906.3612509,-126129.736623,-2523.52602997,1148.08398667
0.00119,161.718972811,16176.1599831,2525.50031892,-56941.9956654,-1138.66249895,-16175.1316606,-126275.015946,-2527.48693873,1138.83991331
0.0012,164.431743133,16445.5945522,2530.06140788,-56564.8859831,-1130.07284031,-16446.4629482,-126503.070394,-2531.02420574,1131.29771966
0.00121,167.112171674,16714.3580856,2533.24428446,-56122.6632994,-1121.77305297,-16714.5594109,-126662.214223,-2534.79693296,1122.45326599
0.00122,169.784729521,16982.1582321,2536.78399514,-55695.0047395,-1113.26487781,-16981.8686466,-126839.199757,-2538.30236522,1113.90009479
0.00123,172.459840371,17248.511702,2540.64553561,-55289.072635,-1104.6251435,-17249.4332339,-127032.27678,-2541.7213021,1105.7814527
