time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0.00052,97932.3261571,97932.326511,1959.03253166,1959.03389708,1297.30959553,1297.30962132,-33155.7147094,-33155.7132034,-662.288563824,-662.288072328,-1958.64653022,-1958.64652314,-64865.4810658,-64865.4797763,-1298.53189536,-1298.5309572,663.114264068,663.114294188,1094654.51578,1094862.13319,574.77846215,574.886589307,2.95585778076e-12
0.00053,97862.705045,97862.7054286,1957.63487465,1957.63623849,1303.01497636,1303.01500291,-32800.7797334,-32800.7781917,-655.185579095,-655.185091863,-1957.25410857,-1957.2541009,-65150.7501455,-65150.7488181,-1304.23610527,-1304.23516236,656.015563833,656.015594668,1094076.76073,1094284.36663,585.722118533,585.832321806,2.95585778076e-12
0.00054,97791.6930872,97791.6935005,1956.20939532,1956.21075755,1308.70183847,1308.70186577,-32445.3785857,-32445.3770083,-648.073282728,-648.072799767,-1955.83387001,-1955.83386174,-65435.0932887,-65435.0919234,-1309.92177909,-1309.92083145,648.907540165,648.907571715,1093490.0377,1093697.63215,596.659952525,596.7722318,2.95585778076e-12
0.00055,97719.2912931,97719.291736,1954.75611392,1954.75747453,1314.37010103,1314.37012909,-32089.5163174,-32089.5147042,-640.951775806,-640.951297123,-1954.38583472,-1954.38582586,-65718.5064545,-65718.5050513,-1315.58883603,-1315.58788367,641.790294084,641.790326348,1092894.38005,1093101.9631,607.591874614,607.706229777,2.95585778076e-12
0.00056,97645.5006915,97645.501164,1953.27505111,1953.27641008,1320.01968348,1320.0197123,-31733.197986,-31733.1963371,-633.82115954,-633.820685142,-1952.91002328,-1952.91001383,-66000.9856148,-66000.9841738,-1321.23719554,-1321.23623847,634.663926743,634.66395972,1092289.82163,1092497.39334,618.517795622,618.634226559,2.95585778076e-12
0.00057,97570.3223312,97570.3228334,1951.76622793,1951.76758525,1325.65050552,1325.6505351,-31376.4286556,-31376.4269711,-626.681535272,-626.681065165,-1951.40645667,-1951.40644662,-66282.526755,-66282.5252761,-1326.86677735,-1326.86581558,627.528539422,627.528573113,1091676.39682,1091883.95724,629.437626714,629.556133312,2.95585778076e-12
0.00058,97493.7572806,97493.7578124,1950.22966584,1950.23102148,1331.26248714,1331.26251748,-31019.2133967,-31019.2116766,-619.533004473,-619.532538664,-1949.87515625,-1949.87514561,-66563.1258738,-66563.1243571,-1332.47750144,-1332.47653498,620.384233532,620.384267935,1091054.14049,1091261.68968,640.351279401,640.471861546,2.95585778076e-12
0.00059,97415.806628,97415.8071894,1948.66538667,1948.66674061,1336.85554858,1336.85557966,-30661.5572862,-30661.5555304,-612.375668738,-612.375207234,-1948.31614379,-1948.31613256,-66842.7789832,-66842.7774288,-1338.06928807,-1338.06831695,613.231110608,613.231145724,1090423.08801,1090630.62602,651.258665543,651.381323125,2.95585778076e-12
0.0006,97336.4714811,97336.4720721,1947.07341265,1947.07476487,1342.42961033,1342.42964218,-30303.465407,-30303.4636157,-605.209629789,-605.209172597,-1946.72944144,-1946.72942962,-67121.4821088,-67121.4805166,-1343.64205778,-1343.64108201,606.069272313,606.06930814,1089783.27526,1089990.80215,662.15969736,662.284430266,2.95585778076e-12
0.00061,97255.7529675,97255.7535881,1945.45376641,1945.45511689,1347.98459319,1347.98462579,-29944.9428485,-29944.9410216,-598.034989473,-598.034536598,-1945.11507176,-1945.11505935,-67399.2312895,-67399.2296596,-1349.19573136,-1349.19475095,598.898820433,598.898856971,1089134.73861,1089342.25444,673.054287429,673.181095549,2.95585778076e-12
