time_s,phase_a_duty,phase_b_duty,phase_c_duty,phase_a_upper_gate,phase_a_lower_gate,phase_b_upper_gate,phase_b_lower_gate,phase_c_upper_gate,phase_c_lower_gate,upper_antiparallel_diode_count,lower_antiparallel_diode_count
0.0053,0.387828888264,0.88696420751,0.11303579249,0,0,0,0,0,0,2,1
0.00532,0.36448695226,0.884286060813,0.115713939187,1,0,1,0,0,1,1,0
0.00534,0.36448695226,0.884286060813,0.115713939187,0,0,1,0,0,1,0,1
0.00536,0.36448695226,0.884286060813,0.115713939187,0,1,1,0,0,1,0,0
0.00538,0.36448695226,0.884286060813,0.115713939187,0,1,1,0,0,1,0,0
0.0054,0.36448695226,0.884286060813,0.115713939187,0,0,0,0,0,0,2,1
0.00542,0.341101998168,0.880892231049,0.119107768951,1,0,1,0,0,1,1,0
0.00544,0.341101998168,0.880892231049,0.119107768951,0,1,1,0,0,1,0,0
0.00546,0.341101998168,0.880892231049,0.119107768951,0,1,1,0,0,1,0,0
0.00548,0.341101998168,0.880892231049,0.119107768951,0,1,1,0,0,1,0,0
0.0055,0.341101998168,0.880892231049,0.119107768951,0,0,0,0,0,0,2,1
0.00552,0.316604663046,0.878569036907,0.121430963093,1,0,1,0,0,1,1,0
0.00554,0.316604663046,0.878569036907,0.121430963093,0,1,1,0,0,1,0,0
0.00556,0.316604663046,0.878569036907,0.121430963093,0,1,1,0,0,1,0,0
0.00558,0.316604663046,0.878569036907,0.121430963093,0,1,1,0,0,1,0,0
0.0056,0.316604663046,0.878569036907,0.121430963093,0,0,0,0,0,0,2,1
0.00562,0.292174924,0.875403706909,0.124596293091,1,0,1,0,0,1,1,0
0.00564,0.292174924,0.875403706909,0.124596293091,0,1,1,0,0,1,0,0
0.00566,0.292174924,0.875403706909,0.124596293091,0,1,1,0,0,1,0,0
0.00568,0.292174924,0.875403706909,0.124596293091,0,1,1,0,0,1,0,0
0.0057,0.292174924,0.875403706909,0.124596293091,0,0,0,0,0,0,2,1
0.00572,0.267842188051,0.871334340312,0.128665659688,1,0,1,0,0,1,1,0
0.00574,0.267842188051,0.871334340312,0.128665659688,0,1,1,0,0,1,0,0
0.00576,0.267842188051,0.871334340312,0.128665659688,0,1,1,0,0,1,0,0
0.00578,0.267842188051,0.871334340312,0.128665659688,0,1,1,0,0,1,0,0
0.0058,0.267842188051,0.871334340312,0.128665659688,0,0,0,0,0,0,2,1
0.00582,0.245293837249,0.866117471474,0.133882528526,1,0,1,0,0,1,1,0
0.00584,0.245293837249,0.866117471474,0.133882528526,0,1,1,0,0,1,0,0
0.00586,0.245293837249,0.866117471474,0.133882528526,0,1,1,0,0,1,0,0
0.00588,0.245293837249,0.866117471474,0.133882528526,0,1,1,0,0,1,0,0
0.0059,0.245293837249,0.866117471474,0.133882528526,0,0,0,0,0,0,2,1
0.00592,0.223452425542,0.861545542278,0.138454457722,1,0,1,0,0,1,1,0
0.00594,0.223452425542,0.861545542278,0.138454457722,0,1,1,0,0,1,0,0
0.00596,0.223452425542,0.861545542278,0.138454457722,0,1,1,0,0,1,0,0
0.00598,0.223452425542,0.861545542278,0.138454457722,0,1,1,0,0,1,0,0
0.006,0.223452425542,0.861545542278,0.138454457722,0,0,0,0,0,0,2,1
0.00602,0.20182206619,0.855896674873,0.144103325127,1,0,1,0,0,1,1,0
0.00604,0.20182206619,0.855896674873,0.144103325127,0,1,1,0,0,1,0,0
0.00606,0.20182206619,0.855896674873,0.144103325127,0,1,1,0,0,1,0,0
0.00608,0.20182206619,0.855896674873,0.144103325127,0,1,1,0,0,1,0,0
0.0061,0.20182206619,0.855896674873,0.144103325127,0,0,0,0,0,0,2,1
0.00612,0.182629307496,0.850597856873,0.149402143127,0,0,1,0,0,1,1,0
0.00614,0.182629307496,0.850597856873,0.149402143127,0,1,1,0,0,1,0,0
0.00616,0.182629307496,0.850597856873,0.149402143127,0,1,1,0,0,1,0,0
0.00618,0.182629307496,0.850597856873,0.149402143127,0,1,1,0,0,1,0,0
0.0062,0.182629307496,0.850597856873,0.149402143127,0,0,0,0,0,0,2,1
0.00622,0.163741976132,0.844113566565,0.155886433435,0,1,1,0,0,1,0,0
0.00624,0.163741976132,0.844113566565,0.155886433435,0,1,1,0,0,1,0,0
0.00626,0.163741976132,0.844113566565,0.155886433435,0,1,1,0,0,1,0,0
