time_s,S50_voltage,L50_voltage,S60_voltage,L60_voltage
0.01525,7.84590957278,0.265160159715,119.993420324,108.087732144
0.0153,9.41083133185,1.68897906226,119.995788993,108.27527585
0.01535,10.9734311091,3.11238123449,119.955523731,108.424349866
0.0154,12.5333233564,4.53501547322,119.872638841,108.534901227
0.01545,14.0901231938,5.95653076474,119.747163774,108.606890654
0.0155,15.643446504,7.37657637143,119.57914311,108.64029257
0.01555,17.1929100279,8.79480191827,119.368636546,108.635095108
0.0156,18.7381314586,10.2108574793,119.115718873,108.591300113
0.01565,20.2787295356,11.6243936641,118.820479953,108.508923147
0.0157,21.8143241397,13.0350617037,118.483024682,108.387993477
0.01575,23.3445363856,14.4425135368,118.103472956,108.228554069
0.0158,24.8689887165,15.8464018959,117.681959629,108.030661571
0.01585,26.3873049965,17.2463803924,117.218634462,107.794386293
0.0159,27.8991106039,18.6421036026,116.713662073,107.519812183
0.01595,29.4040325232,20.0332271526,116.167221875,107.207036796
0.016,30.9016994375,21.4194078037,115.579508016,106.856171259
0.01605,32.3917418198,22.8003035364,114.950729308,106.467340233
0.0161,33.8737920245,24.1755736353,114.281109154,106.040681869
0.01615,35.3474843779,25.5448787732,113.570885465,105.576347755
0.0162,36.8124552685,26.9078810945,112.820310582,105.074502867
0.01625,38.2683432365,28.2642442987,112.02965118,104.535325509
0.0163,39.7147890635,29.6136337237,111.199188176,103.959007247
0.01635,41.1514358605,30.9557164276,110.32921663,103.345752845
0.0164,42.5779291565,32.2901612716,109.420045638,102.695780189
0.01645,43.9939169856,33.6166390016,108.471998226,102.009320212
0.0165,45.3990499739,34.9348223289,107.485411229,101.286616808
0.01655,46.7929814261,36.2443860115,106.460635177,100.527926753
0.0166,48.1753674102,37.5450069342,105.398034168,99.7335196029
0.01665,49.5458668432,38.8363641883,104.29798574,98.9036776087
0.0167,50.904141575,40.1181391506,103.160880734,98.0386956088
0.01675,52.2498564716,41.3900155624,101.987123158,97.1388809271
0.0168,53.5826794979,42.6516796071,100.777130044,96.2045532636
0.01685,54.9022817998,43.9028199882,99.5313312942,95.2360445804
0.0169,56.2083377852,45.1431280053,98.2501695367,94.233698984
0.01695,57.5005252043,46.3722976311,96.9340999619,93.1978726031
0.017,58.7785252292,47.5900255863,95.5835901629,92.1289334618
0.01705,60.0420225326,48.7960114148,94.1991199695,91.0272613491
0.0171,61.2907053653,49.9899575577,92.7811812772,89.893247684
0.01715,62.5242656336,51.1715694265,91.3302778731,88.7272953759
0.0172,63.7423989749,52.3405554763,89.8469252561,87.5298186823
0.01725,64.944804833,53.4966272772,88.3316504544,86.3012430609
0.0173,66.1311865324,54.6394995859,86.7849918378,85.0420050188
0.01735,67.301251351,55.7688904155,85.2074989269,83.7525519572
0.0174,68.4547105929,56.884521106,83.5997321974,82.4333420128
0.01745,69.5912796592,57.9861163921,81.9622628811,81.0848438944
0.0175,70.7106781186,59.0734044716,80.2956727631,79.7075367171
0.01755,71.8126297763,60.1461170725,78.6005539748,78.3019098315
0.0176,72.8968627421,61.2039895189,76.877508784,76.8684626502
0.01765,73.9631094979,62.2467607968,75.1271493804,75.4077044701
0.0177,75.011106963,63.2741736179,73.3500976584,73.9201542917
0.01775,76.04059656,64.2859744834,71.5469849959,72.4063406345
0.0178,77.0513242776,65.2819137467,69.7184520303,70.8668013492
0.01785,78.0430407338,66.2617456746,67.8651484307,69.3020834268
0.0179,79.0155012376,67.2252285082,65.987732667,67.7127428042
0.01795,79.9684658487,68.1721245226,64.0868717761,66.0993441665
0.018,80.9016994375,69.1022000853,62.1632411248,64.4624607465
0.01805,81.8149717425,70.0152257142,60.2175241699,62.8026741212
0.0181,82.7080574274,70.9109761338,58.2504122154,61.1205740048
0.01815,83.5807361368,71.7892303311,56.2626041669,59.4167580395
0.0182,84.4327925502,72.6497716101,54.2548062829,57.691831583
0.01825,85.2640164354,73.4923876449,52.2277319247,55.9464074934
0.0183,86.0742027004,74.3168705328,50.182101302,54.1811059117
0.01835,86.8631514438,75.1230168449,48.1186412176,52.396554041
0.0184,87.6306680044,75.9106276768,46.0380848091,50.5933859241
0.01845,88.3765630089,76.6795086971,43.9411712883,48.7722422181
0.0185,89.1006524188,77.429470196,41.8286456786,46.9337699668
0.01855,89.8027575761,78.1603271317,39.7012585503,45.0786223704
0.0186,90.4827052466,78.8718991763,37.5597657538,43.2074585541
0.01865,91.1403276635,79.5640107599,35.4049281514,41.3209433336
0.0187,91.7754625684,80.2364911144,33.2375113466,39.4197469786
0.01875,92.3879532511,80.8891743153,31.0582854123,37.5045449752
0.0188,92.9776485888,81.5218993229,28.8680246171,35.5760177856
0.01885,93.544403083,82.1345100216,26.6675071502,33.6348506063
0.0189,94.0880768954,82.726855259,24.457514845,31.6817331247
0.01895,94.6085358827,83.2987888827,22.2388329012,29.7173592742
0.019,95.1056516295,83.8501697767,20.0122496059,27.7424269874
0.01905,95.5793014798,84.380861896,17.7785560537,25.7576379485
0.0191,96.0293685677,84.8907343002,15.5385458652,23.7636973434
0.01915,96.4557418458,85.3796611859,13.2930149053,21.7613136098
0.0192,96.8583161129,85.8475219179,11.0427610005,19.7511981851
0.01925,97.2369920398,86.2942010583,8.78858365532,17.7340652537
0.0193,97.5916761939,86.7195883959,6.5312837682,15.7106314934
0.01935,97.9222810622,87.1235789727,4.27166334706,13.6816158205
0.0194,98.2287250729,87.5060731101,2.01052522427,11.6477391347
0.01945,98.5109326155,87.8669764332,-0.25132722854,9.60972406257
0.0195,98.7688340595,88.2061998947,-2.513090386,7.56829470128
0.01955,99.0023657716,88.5236597963,-4.77396065441,5.52417636092
0.0196,99.2114701314,88.8192778094,-7.03313475733,3.47809530701
0.01965,99.3960955455,89.0929809947,-9.28981002096,1.4307785024
0.0197,99.5561964603,89.3447018201,-11.5431846593,-0.617046651008
0.01975,99.6917333733,89.5743781773,-13.7924580591,-2.66465257068
0.0198,99.8026728428,89.7819533969,-16.0368310643,-4.71131175197
0.01985,99.8889874962,89.967376263,-18.2755062597,-6.75629702664
0.0199,99.9506560366,90.1306010252,-20.5076882548,-8.79888182114
0.01995,99.9876632482,90.2715874102,-22.7325839659,-10.8383404148
0.02,100,90.3903006318,-24.9494028981,-12.8739481978
