time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,BANK A_v_pu,BANK N_v_pu,BANK B_v_pu,BANK C_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,branch_voltage_branch_fixed_4_pu,branch_voltage_branch_fixed_5_pu,branch_voltage_branch_fixed_6_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu
0.02465,-0.99130763107,-0.99130763107,0.609591892741,0.609591892741,0.381715738328,0.381715738328,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.99130763107,0.609591892741,0.381715738328,-0.36580769583,1.36569503844,-0.999938852599,-0.110400014138,-0.241003224593,1.89675451203
0.0247,-0.99361131052,-0.99361131052,0.59454215154,0.59454215154,0.39906915898,0.39906915898,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.99361131052,0.59454215154,0.39906915898,-0.36580769583,1.36569503844,-0.999938852599,-0.112703693589,-0.256052965795,1.91410793268
0.02475,-0.995561964603,-0.995561964603,0.579281172343,0.579281172343,0.41628079226,0.41628079226,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.995561964603,0.579281172343,0.41628079226,-0.36580769583,1.36569503844,-0.999938852599,-0.114654347672,-0.271313944992,1.93131956596
0.0248,-0.997158900261,-0.997158900261,0.563814377303,0.563814377303,0.433344522957,0.433344522957,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.997158900261,0.563814377303,0.433344522957,-0.36580769583,1.36569503844,-0.999938852599,-0.11625128333,-0.286780740031,1.94838329666
0.02485,-0.998401550109,-0.998401550109,0.548147261701,0.548147261701,0.450254288408,0.450254288408,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.998401550109,0.548147261701,0.450254288408,-0.36580769583,1.36569503844,-0.999938852599,-0.117493933178,-0.302447855634,1.96529306211
0.0249,-0.999289472641,-0.999289472641,0.532285391986,0.532285391986,0.467004080655,0.467004080655,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.999289472641,0.532285391986,0.467004080655,-0.36580769583,1.36569503844,-0.999938852599,-0.11838185571,-0.318309725349,1.98204285435
0.02495,-0.999822352381,-0.999822352381,0.516234403806,0.516234403806,0.483587948575,0.483587948575,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.999822352381,0.516234403806,0.483587948575,-0.36580769583,1.36569503844,-0.999938852599,-0.11891473545,-0.334360713529,1.99862672228
0.025,-1,-1,0.5,0.5,0.5,0.5,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-1,0.5,0.5,-0.36580769583,1.36569503844,-0.999938852599,-0.119092383069,-0.350595117334,2.0150387737
0.02505,-0.999822352381,-0.999822352381,0.483587948575,0.483587948575,0.516234403806,0.516234403806,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.999822352381,0.483587948575,0.516234403806,-0.36580769583,1.36569503844,-0.999938852599,-0.11891473545,-0.367007168759,2.03127317751
0.0251,-0.999289472641,-0.999289472641,0.467004080655,0.467004080655,0.532285391986,0.532285391986,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.999289472641,0.467004080655,0.532285391986,-0.36580769583,1.36569503844,-0.999938852599,-0.11838185571,-0.38359103668,2.04732416569
