time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0.00095,234.330751982,23437.314493,-23437.7618133,-84218.6767534,-1683.53709548,1684.37353507,-138334.881043,-2767.91159815,2766.69762086
0.00096,243.251492337,24330.3113057,-24330.0142635,-83782.9400379,-1675.19131943,1675.65880076,-138543.932337,-2772.23477926,2770.87864674
0.00097,252.138163711,25218.607364,-25218.8591344,-83357.3380358,-1666.3996455,1667.14676072,-138753.342619,-2776.31585119,2775.06685238
0.00098,260.981284122,26103.4889813,-26103.3480379,-82916.6333248,-1657.78253241,1658.3326665,-138951.832274,-2780.35696342,2779.03664548
0.00099,269.789720075,26984.2163607,-26984.3678019,-82479.923466,-1648.89580224,1649.59846932,-139148.309485,-2784.2306687,2782.9661897
0.001,278.558791414,27861.5055419,-27861.4503173,-82033.784231,-1640.07712977,1640.67568462,-139337.024481,-2788.0403224,2786.74048963
0.00101,287.293492032,28734.9937678,-28735.095073,-81588.491356,-1631.0874083,1631.76982712,-139522.685628,-2791.72390302,2790.45371256
0.00102,295.991624109,29605.0891007,-29605.0822433,-81136.9301129,-1622.11028556,1622.73860226,-139702.385308,-2795.33498912,2794.04770616
0.00103,304.65608824,30471.624326,-30471.7019458,-80684.6458051,-1613.01777548,1613.6929161,-139878.641684,-2798.8438983,2797.57283368
0.00104,313.285956198,31334.8397099,-31334.861339,-80227.8880981,-1603.90986555,1604.55776196,-140050.005027,-2802.27898008,2801.00010054
0.00105,321.882982431,32194.6680507,-32194.7359027,-79769.6640887,-1594.71852217,1595.39328177,-140217.844654,-2805.62646661,2804.35689308
0.00106,330.446875499,33051.2569927,-33051.2964874,-79308.0134357,-1585.49836955,1586.16026871,-140381.456175,-2808.90179636,2807.6291235
0.00107,338.978750918,33904.5892823,-33904.6546668,-78844.5797007,-1576.21358764,1576.89159401,-140541.601559,-2812.09897918,2810.83203117
0.00108,347.478625398,34754.7604549,-34754.8121123,-78378.3520983,-1566.89421779,1567.56704197,-140697.955163,-2815.22675451,2813.95910325
0.00109,355.947249206,35601.7771417,-35601.8438656,-77910.2401428,-1557.52167368,1558.20480286,-140850.954468,-2818.28288452,2817.01908936
0.0011,364.384777987,36445.7047593,-36445.7654942,-77439.7347178,-1548.1126663,1548.79469436,-141000.464182,-2821.27256649,2820.00928364
0.00111,372.79174594,37286.5604004,-37286.6304289,-76967.3487833,-1538.65778134,1539.34697567,-141146.745927,-2824.19532834,2822.93491855
0.00112,381.16836181,38124.3914237,-38124.4595482,-76492.8366792,-1529.16648504,1529.85673358,-141289.758176,-2827.05444622,2825.79516352
0.00113,389.515026208,38959.2185917,-38959.2929213,-76016.495946,-1519.63421135,1520.32991892,-141429.66538,-2829.85023864,2828.5933076
0.00114,397.831958555,39791.07792,-39791.1524947,-75538.2180095,-1510.06647181,1510.76436019,-141566.470513,-2832.58490444,2831.32941026
0.00115,406.11947239,40619.9905087,-40620.0696284,-75058.1823908,-1500.46123817,1501.16364782,-141700.28292,-2835.25907934,2834.0056584
0.00116,414.377777821,41445.984849,-41446.0653377,-74576.3507993,-1490.82184709,1491.52701599,-141831.125189,-2837.874332,2836.62250378
0.00117,422.607128266,42269.0808341,-42269.1649692,-74092.8372722,-1481.147579,1481.85674544,-141959.074333,-2840.43139055,2839.18148666
0.00118,430.807715982,43089.3016669,-43089.3877525,-73607.6386703,-1471.44056042,1472.15277341,-142084.160194,-2842.9314359,2841.68320387
0.00119,438.979750448,43906.6654001,-43906.7546398,-73120.8320177,-1461.70073028,1462.41664035,-142206.439998,-2845.37518628,2844.12879997
0.0012,447.12340325,44721.1913074,-44721.2827931,-72632.4309942,-1451.92952989,1452.64861988,-142325.944888,-2847.76357038,2846.51889777
0.00121,455.238850087,45532.8954204,-45532.9897857,-72142.491152,-1442.12721562,1442.84982304,-142442.719375,-2850.09725401,2848.85438749
0.00122,463.326241807,46341.7939493,-46341.8907055,-71651.033539,-1432.2948309,1433.02067078,-142556.793195,-2852.37699217,2851.1358639
0.00123,471.385727032,47147.9009393,-47148.0004177,-71158.1008099,-1422.43277278,1423.1620162,-142668.202245,-2854.60338433,2853.3640449
0.00124,479.417437042,47951.2301175,-47951.332053,-70663.7166047,-1412.54184569,1413.27433209,-142776.97378,-2856.77705951,2855.53947561
0.00125,1570021.72673,33642.3878443,-31400.4345345,247168.018536,4350.12315877,-4943.36037071,63905.8512448,995.069288972,-1278.1170249
0.00126,777222.015937,12035.6987002,-15544.4403187,470837.889732,10786.5827287,-9416.75779463,275228.3777,6177.07330914,-5504.567554
0.00127,408962.312293,10696.6789526,-8179.24624587,434152.331161,7562.57795728,-8683.04662322,303232.147358,5600.6030857,-6064.64294717
0.00128,462819.553079,7434.77504121,-9256.39106159,286524.158218,6481.95903089,-5730.48316437,212224.10356,4573.1047881,-4244.48207119
0.00129,303378.836384,7221.73383373,-6067.57672768,274641.063821,4976.0323533,-5492.82127643,173418.377266,3204.13401173,-3468.36754532
0.0013,317391.663382,5609.6998476,-6347.83326764,194697.372622,4196.0303594,-3893.94745245,113602.522665,2422.95877338,-2272.0504533
0.00131,244144.855013,5304.47040405,-4882.89710025,175720.965805,3318.49675856,-3514.41931609,85292.8589174,1588.26172079,-1705.85717835
