time_s,lightning_current_a,tower_top_voltage_v,ground_potential_rise_v,insulator_stress_v,flashover_state
8.5e-05,5799.45871433,105045.082553,105039.818909,0.00525838540705,1
8.55e-05,5741.75313595,103998.972416,103993.761164,0.00520604552969,1
8.6e-05,5684.62173768,102963.284881,102958.1255,0.00515422659336,1
8.65e-05,5628.05880632,101937.915982,101932.807955,0.00510292341221,1
8.7e-05,5572.05868552,100922.762792,100917.705609,0.005052130852,1
8.75e-05,5516.61577524,99917.723414,99912.7165683,0.0050018438297,1
8.8e-05,5461.72453114,98922.696972,98917.7399626,0.00495205731294,1
8.85e-05,5407.37946404,97937.5835976,97932.6759285,0.00490276631943,1
8.9e-05,5353.57513939,96962.2844207,96957.4256009,0.00485396591653,1
8.95e-05,5300.30617672,95996.7015612,95991.8911043,0.00480565122079,1
9e-05,5247.56724908,95040.7381167,95035.9755414,0.00475781739736,1
9.05e-05,5195.35308254,94094.2981548,94089.5829847,0.0047104596596,1
9.1e-05,5143.65845563,93157.2867027,93152.6184659,0.0046635732685,1
9.15e-05,5092.47819886,92229.6097348,92224.9879642,0.00461715353228,1
9.2e-05,5041.80719416,91311.1741684,91306.5984014,0.00457119580593,1
9.25e-05,4991.64037437,90401.8878496,90397.3576284,0.00452569549068,1
9.3e-05,4941.97272278,89501.6595462,89497.1744175,0.00448064803352,1
9.35e-05,4892.79927258,88610.3989375,88605.9584525,0.00443604892687,1
9.4e-05,4844.11510639,87728.0166058,87723.6203202,0.00439189370795,1
9.45e-05,4795.91535574,86854.4240278,86850.0715017,0.00434817795854,1
9.5e-05,4748.19520063,85989.5335642,85985.224362,0.00430489730436,1
9.55e-05,4700.94986899,85133.2584511,85128.9921416,0.00426204741468,1
9.6e-05,4654.17463625,84285.5127919,84281.2889483,0.00421962400192,1
9.65e-05,4607.86482486,83446.2115483,83442.0297478,0.00417762282118,1
9.7e-05,4562.01580379,82615.2705322,82611.1303565,0.00413603966986,1
9.75e-05,4516.62298811,81792.6063961,81788.5074309,0.00409487038722,1
9.8e-05,4471.68183848,80978.1366248,80974.0784598,0.0040541108539,1
9.85e-05,4427.18786077,80171.7795279,80167.7617571,0.00401375699159,1
9.9e-05,4383.13660553,79373.4542304,79369.4764518,0.00397380476257,1
9.95e-05,4339.52366761,78583.0806664,78579.142482,0.00393425016938,1
0.0001,4296.34468566,77800.5795684,77796.6805841,0.00389508925432,1
0.0001005,10653.4922744,191634.005866,191624.402016,0.0095942554933,1
0.000101,15400.8108109,278898.314693,278884.337349,0.0139633812747,1
0.0001015,16107.386409,294017.771716,294003.036425,0.0147205697898,1
0.000102,16116.1071446,295135.270095,295120.478582,0.0147767357689,1
0.0001025,15966.0719509,292485.391352,292470.732432,0.0146442748908,1
0.000103,15768.2548761,288561.992011,288547.529519,0.0144480432807,1
0.0001035,15553.9498386,284208.565595,284194.321093,0.0142302715818,1
0.000104,15334.125922,279759.452294,279745.430587,0.0140076995445,1
0.0001045,15113.2562133,275352.995898,275339.194857,0.013787254186,1
0.000105,14893.3722299,271043.09537,271029.510163,0.0135716346262,1
0.0001055,14675.4695878,266845.638539,266832.26354,0.0133616368177,1
0.000106,14460.0612097,262759.5881,262746.417734,0.0131572092473,1
0.0001065,14247.4177266,258776.991346,258764.020434,0.0129579541021,1
0.000107,14037.6806042,254887.793888,254875.017757,0.0127633682916,1
0.0001075,13830.918977,251082.10611,251069.52058,0.0125729569347,1
0.000108,13627.1598053,247351.188213,247338.789544,0.0123862826908,1
0.0001085,13426.4046378,243687.784947,243675.569761,0.0122029825264,1
0.000109,13228.6393071,240086.134856,240074.100065,0.0120227681856,1
0.0001095,13033.8397342,236541.825403,236529.968139,0.0118454189407,1
0.00011,12841.9755105,233051.585636,233039.903194,0.0116707712152,1
0.0001105,12653.0121669,229613.065432,229601.555226,0.0114987075326,1
0.000111,12466.9126455,226224.626883,226213.286408,0.0113291460728,1
0.0001115,12283.6382729,222885.160075,222873.986881,0.0111620314491,1
0.000112,12103.1494172,219593.927961,219582.919637,0.0109973269409,1
0.0001125,11925.4059363,216350.440707,216339.594863,0.0108350082025,1
0.000113,11750.3674898,213154.357462,213143.671729,0.0106750583442,1
0.0001135,11577.9937572,210005.412396,209994.884414,0.0105174642292,1
0.000114,11408.2445926,206903.361274,206892.988698,0.0103622137974,1
0.0001145,11241.0801343,203847.944899,203837.725396,0.0102092942353,1
0.000115,11076.4608836,200838.865936,200828.797186,0.010058690815,1
0.0001155,10914.3477608,197875.776019,197865.855722,0.00991038624876,1
0.000116,10754.7021448,194958.270517,194948.496393,0.00976436042621,1
0.0001165,10597.4859012,192085.888711,192076.2585,0.00962059042362,1
0.000117,10442.6614016,189258.11763,189248.629101,0.00947905069584,1
0.0001175,10290.1915359,186474.398146,186465.049093,0.0093397133816,1
0.000118,10140.0397209,183734.132258,183724.920507,0.00920254866809,1
0.0001185,9992.16990388,181036.690792,181027.614199,0.00906752517689,1
0.000119,9846.54656442,178381.420979,178372.477434,0.00893461034351,1
0.0001195,9703.13471372,175767.653534,175758.840959,0.00880377077179,1
0.00012,9561.89989238,173194.70903,173186.025383,0.00867497255358,1
0.0001205,9422.80816695,170661.903442,170653.346713,0.00854818154623,1
0.000121,9285.82612561,168168.552852,168160.121065,0.00842336360837,1
0.0001215,9150.92087308,165713.977301,165705.668516,0.00830048479327,1
0.000122,9018.06002503,163297.503875,163289.316183,0.00817951150308,1
0.0001225,8887.21170204,160918.46909,160910.400619,0.00806041060887,1
0.000123,8758.34452332,158576.220665,158568.269572,0.007943149539,1
0.0001235,8631.42760021,156270.118761,156262.283237,0.00782769634195,1
0.000124,8506.43052942,153999.536801,153991.815068,0.00771401972706,1
0.0001245,8383.32338633,151763.861926,151756.252235,0.00760208908748,1
0.000125,8262.07671811,149562.495168,149554.995801,0.00749187450929,1
0.0001255,8142.66153683,147394.85141,147387.46068,0.00738334676931,1
